Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date,Review,Genre,Country
2023-06-21,A Most Violent Year,2014,https://boxd.it/4p2or7,3.0,,,2023-05-18,,"Crime, Drama, Thriller","United Arab Emirates, United States of America"
2023-06-21,No Way Out,2022,https://boxd.it/4p2pk7,3.0,,,2023-05-24,"Wellllllll, great scenes🍒 in first half hour, no need to watch the rest.","Thriller, Crime, Action",United States of America
2023-06-21,Spencer,2021,https://boxd.it/4pi44f,3.5,,,2023-06-20,Wish it could cover more of her life,Drama,"Chile, Germany, United Kingdom, United States of America"
2023-06-22,"Are You There God? It's Me, Margaret.",2023,https://boxd.it/4pp4PT,1.5,,,2023-06-22,,"Comedy, Drama",United States of America
2023-06-22,The Town,2010,https://boxd.it/4pxgCD,3.0,,,2023-06-22,,"Crime, Drama, Thriller",United States of America
2023-06-24,The Guilty,2021,https://boxd.it/4q3WJP,2.0,,,2023-06-22,It was like one of Tom hardy movies. Boring.,"Drama, Thriller",United States of America
2023-06-28,Hello FatherDog,2007,https://boxd.it/4rg5jT,5.0,,,2023-06-28,"Quoting from <b>“aka.frankie”:</b>

<i>“Me and a friend used to review the piece of art you created and oh boy we did some revelation's . The moment you called his sister a whore he didnt perform any particular reaction but once you told him to go and die, he just got triggered. The matter of living was more important than the subject of her loved ones being a sex worker. It means he is a metaphor of aristotle being a materialist, and you were plato himself presenting divine ideology. The third party who witnessed the holy argue, he found out something once he said ""i realized the story now"", he opened his third eye he got out of plato's cave and faced the truth. In the end the aristotle drove the car showing the fact that plato left the philosophy's destiny in the hands of his own apprentice.”</i>",Unknown,Unknown
2023-07-01,Anesthesia,2015,https://boxd.it/4rUP0D,3.0,,,2023-06-30,,"Drama, Thriller",United States of America
2023-07-07,My Fault,2023,https://boxd.it/4tFNn9,1.0,,,2023-07-06,-.-,"Drama, Romance, Thriller",Spain
2023-07-08,Zodiac,2007,https://boxd.it/4u7v1v,4.0,,,2023-07-07,Wow.,"Crime, Mystery, Thriller",United States of America
2023-07-10,Glass Onion,2022,https://boxd.it/4uACaH,3.0,,,2023-07-08,,"Comedy, Crime, Mystery",United States of America
2023-07-15,Deception,2008,https://boxd.it/4w82pj,2.0,,,2023-07-14,Boring,"Thriller, Mystery","Spain, United States of America"
2023-07-21,The Game,1997,https://boxd.it/4y44Ol,4.0,,,2023-07-20,"I would kill them all if I was Nicholas, but well, he’s after Clare.","Drama, Thriller, Mystery",United States of America
2023-07-21,Girls to Buy,2021,https://boxd.it/4yhefr,2.0,,,2023-07-21,,"Thriller, Drama, Crime, Action",Poland
2023-07-21,The Vow,2012,https://boxd.it/4yhh13,3.0,Yes,,2023-07-21,"Unconsciously I rewatched it and enjoyed it again. Real definition of love in the movies:,)))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))","Drama, Romance",United States of America
2023-07-21,Remember Me,2010,https://boxd.it/4yiXMR,3.5,Yes,,2023-07-21,"I just love the senario. Like you think finally everything is going well at the end, and it’ll be “happily ever after” but then boom surprise mother fucker! Live rest of your life with regrets puta!","Drama, Romance",United States of America
2023-07-23,Gehraiyaan,2022,https://boxd.it/4yVCZj,3.0,,,2023-07-21,"Less indian, more realistic.","Romance, Drama",India
2023-08-16,I Care a Lot,2020,https://boxd.it/4HQBTP,3.5,Yes,,2023-08-03,"Rewatched it with friends, still one of my fav ones.","Crime, Thriller, Drama, Comedy","United Kingdom, United States of America"
2023-08-16,Like Crazy,2011,https://boxd.it/4HQD0H,2.0,,,2023-08-03,Weirdos.,"Drama, Romance",United States of America
